items_id,rfid,model_id,dateAcquired,location_id,serialNum,comments,price,pbhrnumber,user_id,accountedFor,alias,delete_Boolean
4507,2F2203447334C31000003A59,5163,NULL,47,3.55E+14,NULL,682.89,NULL,133,Found,NULL,
4508,2F2203447334C31000003A5A,5163,NULL,47,3.55E+14,NULL,682.89,NULL,133,Found,NULL,
4509,2F2203447334C31000003A5B,5163,NULL,47,3.55E+14,NULL,682.89,NULL,133,Found,NULL,
4510,2F2203447334C31000003A5C,5163,NULL,47,3.55E+14,NULL,682.89,NULL,133,Found,NULL,
4511,2F2203447334C31000003A5D,5163,NULL,47,3.55E+14,NULL,682.89,NULL,44,Found,NULL,
4512,2F2203447334C31000003A5E,5163,NULL,47,3.55E+14,NULL,682.89,NULL,133,Found,NULL,
4513,2F2203447334C31000003A5F,5163,NULL,47,3.55E+14,NULL,682.89,NULL,133,Found,NULL,
4514,2F2203447334C31000003A60,5163,NULL,47,3.55E+14,NULL,682.89,NULL,133,Found,NULL,
4515,2F2203447334C31000003A61,5163,NULL,47,3.55E+14,NULL,682.89,NULL,133,Found,NULL,
4516,2F2203447334C31000003A62,5163,NULL,47,3.55E+14,NULL,682.89,NULL,133,Found,NULL,
4517,2F2203447334C31000003A63,5163,NULL,47,3.55E+14,NULL,682.89,NULL,133,Found,NULL,
