role_id,roleName,roleDescription,created_at,updated_at,delete_Boolean
1,admin,The Admin user can perform all actions on all tables.,2010-12-09,2010-12-09,
2,user,"The user is able to create, edit, and view all tables. The user is unable to delete records. The purpose of this is to prevent corruption of the data.",2010-12-09,2010-12-09,
