make_id,makeName,created_at,updated_at,delete_Boolean
83,Agilent,2011-04-06,2011-04-06,0
84,Motorola,2011-04-06,2011-04-06,0
85,Google,2011-04-06,2011-04-06,0
86,NULL,2011-04-06,2011-04-06,0
87,Dell,2011-04-06,2011-04-06,0
88,General Dynamics,2011-04-06,2011-04-06,0
89,Fantom Drives,2011-04-06,2011-04-06,0
90,National Instruments,2011-04-06,2011-04-06,0
91,HP-Agilent,2011-04-06,2011-04-06,0
92,Logic Device,2011-04-06,2011-04-06,0
93,Apple,2011-04-06,2011-04-06,0
94,Lexel Laser,2011-04-06,2011-04-06,0
95,"Electro Impulse, Inc.",2011-04-06,2011-04-06,0
96,Anritsu,2011-04-06,2011-04-06,0
97,Modern Optics,2011-04-06,2011-04-06,0
98,Newport,2011-04-06,2011-04-06,0
99,Micromanipulator,2011-04-06,2011-04-06,0
100,iRobot,2011-04-06,2011-04-06,0
101,Sencore,2011-04-06,2011-04-06,0
102,BK Precision,2011-04-06,2011-04-06,0
103,IFR,2011-04-06,2011-04-06,0
104,Bausch & Lomb,2011-04-06,2011-04-06,0
105,DEGEM,2011-04-06,2011-04-06,0
106,FXR,2011-04-06,2011-04-06,0
107,HP,2011-04-06,2011-04-06,0
108,Neos,2011-04-06,2011-04-06,0
109,Thor Labs,2011-04-06,2011-04-06,0
110,Omnichrome,2011-04-06,2011-04-06,0
111,Stanford Research Systems,2011-04-06,2011-04-06,0
112,IntraAction,2011-04-06,2011-04-06,0
113,Keithley,2011-04-06,2011-04-06,0
114,Santec,2011-04-06,2011-04-06,0
115,Valhalla,2011-04-06,2011-04-06,0
116,AEMC,2011-04-06,2011-04-06,0
117,Motortest,2011-04-06,2011-04-06,0
118,Heliocentris,2011-04-06,2011-04-06,0
119,F.W. Bell,2011-04-06,2011-04-06,0
120,Hampden,2011-04-06,2011-04-06,0
121,Power Tek,2011-04-06,2011-04-06,0
122,Liebert,2011-04-06,2011-04-06,0
123,Dranetz,2011-04-06,2011-04-06,0
124,Sorensen,2011-04-06,2011-04-06,0
125,Greenerd,2011-04-06,2011-04-06,0
126,Pexto,2011-04-06,2011-04-06,0
127,Valdor,2011-04-06,2011-04-06,0
128,Intelitek,2011-04-06,2011-04-06,0
129,Clausing,2011-04-06,2011-04-06,0
130,Regal,2011-04-06,2011-04-06,0
131,Delta,2011-04-06,2011-04-06,0
132,Sunny Machinary,2011-04-06,2011-04-06,0
133,Cleveland Steel Tool Company,2011-04-06,2011-04-06,0
134,Hardinge,2011-04-06,2011-04-06,0
135,Haas,2011-04-06,2011-04-06,0
136,Light Machines Corporation,2011-04-06,2011-04-06,0
137,None,2011-04-06,2011-04-06,0
138,Rockwell,2011-04-06,2011-04-06,0
139,Di Acro,2011-04-06,2011-04-06,0
140,StrataSys,2011-04-06,2011-04-06,0
141,Cyclone Manufacturing,2011-04-06,2011-04-06,0
142,Wilton,2011-04-06,2011-04-06,0
143,Performax,2011-04-06,2011-04-06,0
144,DeWalt,2011-04-06,2011-04-06,0
145,Kalamazoo,2011-04-06,2011-04-06,0
146,SSC,2011-04-06,2011-04-06,0
147,Powermatic,2011-04-06,2011-04-06,0
148,Wellsaw,2011-04-06,2011-04-06,0
149,Podgor,2011-04-06,2011-04-06,0
150,Lincoln,2011-04-06,2011-04-06,0
151,Miller,2011-04-06,2011-04-06,0
152,Sympodium,2011-04-06,2011-04-06,0
153,Samsung,2011-04-06,2011-04-06,0
154,Feedback,2011-04-06,2011-04-06,0
155,Comdyna,2011-04-06,2011-04-06,0
156,Educational Control Products,2011-04-06,2011-04-06,0
157,Lab-Volt,2011-04-06,2011-04-06,0
158,Tektronix,2011-04-06,2011-04-06,0
159,MFJ,2011-04-06,2011-04-06,0
160,LeCroy,2011-04-06,2011-04-06,0
161,Advanced Receiver Research,2011-04-06,2011-04-06,0
162,Trinicon,2011-04-06,2011-04-06,0
163,Fluke,2011-04-06,2011-04-06,0
